Image,PSNR (dB),SSIM,Accuracy (%),RMSE
2429.jpg,24.45,0.5763,73.84,15.28
24301.jpg,26.93,0.8109,90.92,11.48
24318.jpg,26.66,0.7967,90.73,11.84
24331.jpg,25.59,0.6851,81.35,13.39
24337.jpg,29.72,0.8324,94.15,8.32
24348.jpg,23.53,0.6381,75.82,16.98
2435.jpg,30.09,0.8204,95.09,7.99
24358.jpg,26.68,0.6919,86.16,11.82
24365.jpg,27.59,0.7235,85.91,10.64
24367.jpg,26.45,0.8135,91.52,12.13
24369.jpg,31.11,0.8578,96.87,7.1
2437.jpg,27.32,0.7017,87.05,10.98
24372.jpg,28.8,0.7896,92.34,9.26
24373.jpg,31.43,0.8519,97.36,6.84
24378.jpg,24.99,0.6582,80.77,14.35
24382.jpg,31.13,0.8204,96.44,7.08
2440.jpg,29.63,0.7999,93.92,8.41
24404.jpg,28.8,0.7955,92.04,9.26
24405.jpg,27.91,0.7496,88.29,10.25
24408.jpg,31.67,0.8933,98.27,6.65
24412.jpg,25.69,0.7661,83.33,13.24
24416.jpg,26.23,0.7812,90.49,12.45
24444.jpg,26.34,0.7288,82.15,12.28
24448.jpg,24.47,0.661,81.1,15.24
24449.jpg,28.57,0.7572,92.77,9.5
2446.jpg,29.17,0.7671,93.44,8.87
24467.jpg,28.85,0.7961,92.49,9.21
24468.jpg,26.92,0.7519,86.42,11.5
24469.jpg,25.7,0.7623,83.64,13.24
24470.jpg,29.68,0.824,94.5,8.37
24481.jpg,24.11,0.7206,82.4,15.88
24494.jpg,25.24,0.6631,76.99,13.95
24498.jpg,28.25,0.7897,92.32,9.87
24509.jpg,23.31,0.66,69.63,17.42
24517.jpg,27.17,0.8301,89.71,11.17
2452.jpg,25.34,0.7329,81.25,13.79
24522.jpg,26.08,0.7666,84.18,12.66
24535.jpg,27.4,0.7982,88.71,10.87
2454.jpg,24.8,0.7758,82.09,14.67
24544.jpg,26.68,0.641,83.01,11.82
24547.jpg,28.37,0.7729,90.98,9.73
24549.jpg,26.53,0.7089,83.14,12.02
24558.jpg,27.09,0.7787,88.5,11.27
24565.jpg,27.73,0.7903,89.78,10.47
24570.jpg,24.72,0.7083,83.14,14.82
24577.jpg,26.31,0.7629,86.18,12.33
24579.jpg,30.03,0.8604,94.66,8.03
24585.jpg,28.99,0.7488,95.25,9.06
2459.jpg,23.67,0.7506,83.37,16.71
24591.jpg,30.11,0.8666,94.94,7.97
24593.jpg,24.92,0.5898,75.14,14.47
24598.jpg,27.44,0.7813,87.95,10.83
24605.jpg,23.14,0.7113,71.41,17.76
24607.jpg,25.98,0.7268,85.67,12.81
24633.jpg,28.53,0.8193,90.73,9.55
24640.jpg,28.26,0.8073,93.79,9.85
24648.jpg,26.42,0.7369,84.62,12.17
24654.jpg,26.09,0.7372,81.38,12.65
24665.jpg,27.04,0.8223,90.18,11.34
24670.jpg,25.99,0.835,89.58,12.79
24673.jpg,26.66,0.7139,86.95,11.84
24674.jpg,28.99,0.834,92.44,9.06
24690.jpg,23.98,0.7367,83.83,16.12
24704.jpg,26.48,0.7284,83.13,12.09
2471.jpg,27.57,0.8473,91.08,10.67
24711.jpg,27.77,0.7516,90.88,10.43
24721.jpg,26.52,0.697,83.56,12.04
24722.jpg,28.38,0.7647,90.71,9.71
24724.jpg,24.44,0.5928,74.5,15.29
24725.jpg,24.59,0.6373,79.66,15.04
24733.jpg,27.36,0.7287,88.44,10.93
24735.jpg,28.71,0.8784,92.52,9.35
24742.jpg,26.43,0.7575,86.12,12.16
24744.jpg,25.44,0.6926,79.75,13.63
24758.jpg,27.25,0.7829,87.95,11.06
24760.jpg,26.67,0.6476,85.99,11.83
24762.jpg,26.23,0.6888,81.13,12.44
24769.jpg,26.73,0.7404,83.2,11.75
2477.jpg,29.3,0.7649,91.92,8.74
24771.jpg,28.57,0.7975,90.92,9.51
24775.jpg,28.09,0.7577,89.27,10.05
24791.jpg,29.8,0.7704,93.96,8.25
24804.jpg,26.36,0.797,89.97,12.26
24811.jpg,27.29,0.8127,90.62,11.02
24820.jpg,31.53,0.8636,98.7,6.76
24854.jpg,27.32,0.7069,85.89,10.98
24862.jpg,23.76,0.7038,78.71,16.55
24863.jpg,26.42,0.7895,87.14,12.18
24874.jpg,24.68,0.6988,76.0,14.88
24875.jpg,26.1,0.7044,83.24,12.63
24877.jpg,26.64,0.6038,81.95,11.88
2488.jpg,26.86,0.7229,84.02,11.58
24887.jpg,27.0,0.7473,88.36,11.38
24899.jpg,27.51,0.7933,91.44,10.74
24908.jpg,29.67,0.8442,95.63,8.37
24909.jpg,23.84,0.7204,81.64,16.39
24911.jpg,25.56,0.6423,81.77,13.44
24915.jpg,28.43,0.8298,91.49,9.67
24920.jpg,26.35,0.7043,80.25,12.27
24931.jpg,25.35,0.6985,79.11,13.77
24934.jpg,23.52,0.6834,78.31,17.0
24936.jpg,25.48,0.6376,81.4,13.57
24942.jpg,26.17,0.7943,88.19,12.53
24945.jpg,24.78,0.6306,76.58,14.71
24948.jpg,26.48,0.8005,85.99,12.1
24951.jpg,29.04,0.8161,92.22,9.01
24955.jpg,26.61,0.7626,87.64,11.91
24960.jpg,28.29,0.7952,89.61,9.82
24964.jpg,24.7,0.7572,85.89,14.84
24967.jpg,25.38,0.6933,80.91,13.73
24975.jpg,27.43,0.7911,87.43,10.84
24977.jpg,28.23,0.7349,92.18,9.89
24980.jpg,26.37,0.7797,88.52,12.24
24983.jpg,30.08,0.8385,95.09,7.99
24984.jpg,28.71,0.8804,94.3,9.35
24985.jpg,27.24,0.806,87.62,11.08
24998.jpg,27.29,0.7431,87.98,11.02
25000.jpg,29.28,0.8156,92.77,8.76
25002.jpg,25.8,0.6664,82.64,13.07
25004.jpg,27.87,0.8206,90.1,10.3
25005.jpg,26.34,0.7343,80.87,12.29
25006.jpg,27.82,0.7041,86.03,10.37
25016.jpg,26.57,0.7636,86.32,11.97
25017.jpg,28.78,0.734,91.73,9.28
25021.jpg,24.26,0.6542,72.82,15.61
25022.jpg,24.7,0.7214,82.46,14.84
25026.jpg,26.87,0.7445,86.58,11.56
25033.jpg,26.68,0.7233,84.67,11.81
25034.jpg,26.92,0.7587,86.45,11.49
25035.jpg,31.26,0.8503,97.18,6.98
25042.jpg,29.7,0.8127,93.37,8.35
25043.jpg,28.16,0.7841,89.83,9.97
25047.jpg,24.05,0.6348,84.16,16.0
2505.jpg,27.21,0.7978,91.19,11.12
25061.jpg,27.39,0.7798,89.34,10.89
2507.jpg,26.09,0.775,86.4,12.65
25079.jpg,23.96,0.6761,79.53,16.16
25081.jpg,22.26,0.6919,81.58,19.66
25086.jpg,29.03,0.7218,92.45,9.01
25097.jpg,26.67,0.771,88.44,11.83
25100.jpg,23.99,0.6627,74.55,16.1
25104.jpg,28.55,0.8509,93.5,9.53
25105.jpg,27.54,0.8328,91.03,10.71
25108.jpg,24.98,0.6676,84.37,14.37
25112.jpg,29.06,0.8292,92.8,8.98
25117.jpg,24.96,0.6619,81.11,14.4
25131.jpg,28.14,0.7532,91.51,9.99
25132.jpg,26.53,0.7193,86.94,12.02
25147.jpg,28.52,0.8033,92.31,9.56
25154.jpg,26.39,0.6936,82.19,12.22
2516.jpg,25.02,0.6418,79.09,14.31
25160.jpg,25.82,0.6431,82.2,13.05
25172.jpg,27.48,0.8138,89.54,10.78
25175.jpg,24.05,0.6546,76.88,15.99
25177.jpg,26.87,0.7624,84.77,11.57
25180.jpg,26.95,0.7726,88.36,11.45
25182.jpg,22.95,0.624,73.06,18.15
25187.jpg,25.94,0.7535,84.37,12.86
25188.jpg,26.4,0.7675,88.35,12.21
2519.jpg,26.07,0.7081,80.51,12.68
25197.jpg,27.69,0.6924,87.93,10.52
25201.jpg,29.18,0.8262,93.72,8.86
25202.jpg,28.56,0.8355,95.03,9.52
25218.jpg,27.21,0.7637,86.59,11.12
25230.jpg,26.98,0.7316,86.96,11.41
25231.jpg,28.08,0.7985,88.74,10.06
25236.jpg,27.1,0.7369,84.29,11.26
25242.jpg,28.34,0.7971,89.8,9.76
25244.jpg,26.9,0.7881,87.12,11.52
25250.jpg,26.74,0.7169,87.9,11.73
25254.jpg,30.85,0.8532,96.63,7.31
25257.jpg,26.38,0.7302,86.4,12.23
25264.jpg,26.07,0.7663,85.7,12.68
25274.jpg,27.77,0.8215,90.6,10.43
25289.jpg,29.56,0.8105,93.14,8.49
25293.jpg,25.21,0.7008,86.05,13.99
25303.jpg,30.0,0.8836,95.28,8.06
25305.jpg,25.82,0.7996,84.39,13.04
25311.jpg,26.29,0.7411,87.07,12.36
25313.jpg,25.57,0.6806,81.76,13.43
25318.jpg,28.3,0.8055,90.69,9.81
25324.jpg,25.1,0.7528,82.17,14.18
25326.jpg,27.88,0.8277,91.09,10.29
25328.jpg,23.31,0.6162,74.05,17.42
25333.jpg,24.6,0.6211,75.07,15.02
25344.jpg,26.72,0.7561,84.04,11.76
25346.jpg,24.9,0.7481,86.61,14.51
2535.jpg,22.98,0.6674,76.88,18.09
25351.jpg,28.85,0.8253,92.58,9.2
25356.jpg,28.02,0.8285,90.86,10.13
25358.jpg,27.62,0.7071,87.38,10.6
25359.jpg,24.82,0.6866,81.09,14.64
25362.jpg,28.92,0.6836,92.87,9.14
25363.jpg,25.89,0.5803,78.07,12.95
25364.jpg,29.62,0.8512,94.46,8.43
25369.jpg,23.27,0.7086,80.02,17.5
25376.jpg,30.25,0.8111,94.96,7.83
25388.jpg,28.04,0.7673,92.01,10.1
25400.jpg,28.02,0.7716,88.49,10.13
25402.jpg,26.18,0.752,85.18,12.51
25412.jpg,26.97,0.8113,87.38,11.43
25420.jpg,23.71,0.7103,86.62,16.64
25427.jpg,30.34,0.8641,96.68,7.75
25430.jpg,29.78,0.819,95.79,8.27
25431.jpg,28.01,0.795,90.25,10.14
25438.jpg,27.28,0.8035,89.06,11.03
25445.jpg,31.17,0.8462,98.02,7.05
25446.jpg,26.82,0.7428,87.49,11.63
25447.jpg,26.5,0.8304,90.57,12.07
25450.jpg,28.52,0.7665,89.82,9.56
25457.jpg,29.12,0.8368,93.52,8.93
25460.jpg,27.72,0.7453,90.15,10.48
2547.jpg,27.01,0.8423,89.7,11.38
25475.jpg,28.8,0.7543,91.72,9.26
25478.jpg,31.4,0.841,97.47,6.87
25482.jpg,26.19,0.7521,87.3,12.51
25484.jpg,28.39,0.8629,94.02,9.7
25486.jpg,30.78,0.8563,96.25,7.37
25505.jpg,26.51,0.7742,86.75,12.05
25506.jpg,27.27,0.7534,86.98,11.05
25512.jpg,28.2,0.7976,93.88,9.92
25513.jpg,27.11,0.694,85.63,11.25
25527.jpg,29.08,0.847,93.3,8.96
2553.jpg,26.41,0.7579,85.74,12.2
25530.jpg,29.05,0.8316,93.49,9.0
25531.jpg,26.68,0.73,84.77,11.82
25537.jpg,23.45,0.6026,71.7,17.15
25540.jpg,26.17,0.7747,86.19,12.54
25542.jpg,24.84,0.7006,84.94,14.61
25544.jpg,28.55,0.7709,92.44,9.53
25545.jpg,26.52,0.7578,86.22,12.03
2555.jpg,25.63,0.721,83.55,13.34
25551.jpg,27.17,0.7562,89.17,11.17
25560.jpg,24.26,0.6007,76.37,15.62
25577.jpg,26.57,0.7716,84.95,11.96
25587.jpg,25.87,0.7835,88.07,12.97
25588.jpg,27.13,0.7388,89.86,11.22
25601.jpg,27.45,0.7978,88.35,10.82
25602.jpg,27.02,0.7067,82.32,11.36
25605.jpg,25.03,0.7432,84.94,14.29
25611.jpg,25.07,0.7087,78.41,14.22
25615.jpg,28.83,0.7974,91.76,9.23
25616.jpg,27.8,0.7587,90.62,10.39
25621.jpg,21.79,0.6693,74.28,20.76
25628.jpg,29.9,0.8351,94.28,8.16
25630.jpg,29.19,0.7731,94.38,8.85
2565.jpg,26.17,0.7474,84.07,12.53
25651.jpg,28.27,0.7886,89.9,9.84
25652.jpg,29.63,0.8503,95.31,8.41
25654.jpg,26.0,0.7395,90.51,12.78
25656.jpg,25.45,0.7446,84.53,13.62
25678.jpg,28.97,0.7975,94.29,9.08
2568.jpg,25.85,0.7395,81.54,13.0
25688.jpg,23.03,0.701,79.93,18.0
25689.jpg,27.92,0.8204,91.14,10.25
25697.jpg,25.29,0.7718,84.43,13.88
257.jpg,30.32,0.8348,95.47,7.77
25704.jpg,27.18,0.7724,86.82,11.16
25711.jpg,28.57,0.7662,90.4,9.51
25712.jpg,26.88,0.7502,86.49,11.55
25713.jpg,24.41,0.6564,77.95,15.35
25716.jpg,26.91,0.7647,87.18,11.51
25720.jpg,26.24,0.7316,86.99,12.43
25724.jpg,22.1,0.6274,69.66,20.01
2573.jpg,30.38,0.8451,96.45,7.72
25759.jpg,28.33,0.8066,90.45,9.78
2576.jpg,28.06,0.7173,87.73,10.08
25765.jpg,28.85,0.7958,92.49,9.21
25770.jpg,28.74,0.7531,91.47,9.32
25773.jpg,24.06,0.6857,78.27,15.99
25785.jpg,27.41,0.7549,86.58,10.87
25786.jpg,24.55,0.7439,84.54,15.1
25788.jpg,25.05,0.674,79.69,14.26
2579.jpg,26.6,0.7709,88.56,11.93
25795.jpg,28.52,0.8342,92.89,9.56
2580.jpg,28.05,0.7381,89.85,10.1
25809.jpg,26.74,0.7774,86.93,11.73
25846.jpg,30.13,0.8702,96.54,7.95
25850.jpg,26.02,0.7214,80.46,12.76
25851.jpg,27.63,0.7337,89.35,10.6
25855.jpg,27.6,0.7612,90.07,10.63
25863.jpg,29.79,0.8172,95.24,8.26
25864.jpg,27.11,0.7693,85.0,11.24
25870.jpg,28.33,0.8399,91.69,9.78
25877.jpg,27.19,0.7303,88.44,11.14
25878.jpg,28.58,0.7803,90.1,9.49
25882.jpg,25.68,0.835,91.92,13.26
25886.jpg,27.79,0.7782,88.43,10.4
25893.jpg,28.21,0.7784,88.31,9.9
25894.jpg,27.83,0.8283,92.61,10.35
25895.jpg,27.2,0.7417,88.48,11.13
2590.jpg,27.42,0.7983,89.81,10.86
25903.jpg,32.83,0.8991,99.49,5.82
25904.jpg,24.42,0.7369,85.29,15.33
25906.jpg,28.55,0.7947,91.39,9.53
25907.jpg,26.71,0.7376,83.39,11.78
2591.jpg,23.97,0.6621,82.1,16.15
25912.jpg,27.4,0.7812,89.3,10.87
25917.jpg,26.41,0.735,85.81,12.19
25928.jpg,27.89,0.7983,90.33,10.28
2593.jpg,27.19,0.7466,89.08,11.15
25932.jpg,24.18,0.725,81.26,15.77
25936.jpg,26.4,0.8181,86.16,12.21
25942.jpg,27.34,0.8226,92.17,10.95
25943.jpg,24.97,0.7195,81.81,14.38
25947.jpg,28.24,0.8156,91.78,9.88
25948.jpg,29.05,0.78,91.41,9.0
25950.jpg,28.23,0.7529,89.93,9.89
25953.jpg,29.21,0.8396,94.32,8.83
25965.jpg,27.09,0.7932,89.17,11.27
25967.jpg,30.57,0.8551,96.76,7.55
25972.jpg,25.2,0.7368,82.8,14.02
25975.jpg,23.76,0.7223,80.14,16.53
25979.jpg,30.83,0.8757,96.21,7.33
25986.jpg,29.95,0.7987,94.2,8.11
25989.jpg,27.42,0.7406,88.86,10.85
2599.jpg,24.2,0.6681,80.3,15.72
25996.jpg,29.07,0.7887,92.4,8.97
26030.jpg,28.85,0.8357,92.38,9.21
26035.jpg,26.22,0.7433,84.05,12.46
26049.jpg,26.62,0.7576,87.82,11.9
26052.jpg,27.84,0.7842,90.24,10.34
26055.jpg,27.24,0.7088,85.58,11.08
26063.jpg,29.42,0.8224,94.31,8.62
26070.jpg,27.01,0.7511,88.11,11.37
26078.jpg,25.64,0.7541,84.72,13.32
2608.jpg,27.07,0.7118,85.08,11.3
26083.jpg,29.37,0.8105,93.79,8.67
26089.jpg,21.73,0.669,76.28,20.89
26090.jpg,26.82,0.7073,89.47,11.62
26091.jpg,28.58,0.8038,91.85,9.5
26094.jpg,28.54,0.8332,93.63,9.54
26097.jpg,28.82,0.8071,92.78,9.24
2610.jpg,27.24,0.6852,84.31,11.08
26100.jpg,26.64,0.7534,84.48,11.88
26102.jpg,29.09,0.8199,92.58,8.95
26107.jpg,29.88,0.7836,94.25,8.17
26108.jpg,27.31,0.8079,90.93,10.99
26115.jpg,21.09,0.6566,72.2,22.5
2612.jpg,25.98,0.7256,81.91,12.81
26129.jpg,25.99,0.6778,83.48,12.79
26137.jpg,28.92,0.7701,90.35,9.13
26138.jpg,26.79,0.7564,84.69,11.67
26139.jpg,26.75,0.7715,85.04,11.73
2614.jpg,25.88,0.7078,81.34,12.96
26143.jpg,25.59,0.5983,76.38,13.39
2615.jpg,27.36,0.7227,86.22,10.92
26154.jpg,24.66,0.6891,76.85,14.92
26158.jpg,26.14,0.7021,83.98,12.57
2616.jpg,25.22,0.6621,81.92,13.98
26164.jpg,23.64,0.6931,80.79,16.78
26165.jpg,26.63,0.7884,87.15,11.88
26180.jpg,26.73,0.8407,90.98,11.74
26186.jpg,24.19,0.6401,73.39,15.75
26187.jpg,26.27,0.7264,85.41,12.38
26190.jpg,24.64,0.7359,79.55,14.94
26197.jpg,26.67,0.7603,89.0,11.83
26202.jpg,24.09,0.5826,75.11,15.92
26203.jpg,30.25,0.8607,96.15,7.83
26206.jpg,28.13,0.8018,92.71,10.01
26209.jpg,27.61,0.7632,89.28,10.62
26211.jpg,23.11,0.6442,73.31,17.83
26213.jpg,29.93,0.8225,95.05,8.13
26216.jpg,27.54,0.6988,89.86,10.7
26219.jpg,28.37,0.7204,89.91,9.72
26227.jpg,25.55,0.7071,82.17,13.46
26231.jpg,23.49,0.6227,72.1,17.06
26232.jpg,26.56,0.7755,87.93,11.98
26235.jpg,25.23,0.6675,80.02,13.97
26239.jpg,27.03,0.7046,88.39,11.35
26240.jpg,25.28,0.6926,80.36,13.88
26241.jpg,27.87,0.7493,89.57,10.31
26245.jpg,27.22,0.6707,84.91,11.11
26252.jpg,27.17,0.7011,84.52,11.17
26257.jpg,29.09,0.8091,91.71,8.95
26264.jpg,26.63,0.764,85.53,11.89
26265.jpg,28.51,0.7548,90.33,9.57
26267.jpg,27.5,0.8292,89.05,10.75
26284.jpg,24.46,0.6717,77.99,15.26
26287.jpg,28.37,0.7892,91.58,9.73
26289.jpg,28.88,0.8358,93.21,9.18
26292.jpg,25.38,0.6435,76.01,13.73
26296.jpg,28.67,0.7689,90.74,9.39
2630.jpg,28.97,0.7318,94.55,9.08
26305.jpg,27.29,0.6429,89.71,11.02
26306.jpg,28.07,0.7886,89.78,10.08
26309.jpg,28.07,0.8355,91.39,10.07
26314.jpg,26.8,0.7343,83.35,11.66
2632.jpg,33.1,0.8408,100.27,5.64
26335.jpg,28.55,0.7575,92.46,9.52
26356.jpg,26.95,0.7781,88.71,11.46
26358.jpg,28.52,0.8177,91.32,9.56
26362.jpg,28.15,0.8,92.05,9.98
26366.jpg,26.38,0.7402,83.01,12.24
26373.jpg,27.28,0.7303,85.87,11.03
26374.jpg,25.8,0.7465,82.26,13.08
26375.jpg,26.43,0.7559,88.33,12.17
26376.jpg,25.86,0.7692,84.27,12.99
26385.jpg,29.86,0.7819,94.05,8.19
26387.jpg,24.05,0.736,84.84,16.0
26388.jpg,25.84,0.8078,86.34,13.01
26394.jpg,24.25,0.6938,76.78,15.63
26396.jpg,26.8,0.6637,92.32,11.66
26400.jpg,28.15,0.7966,92.07,9.98
26409.jpg,26.0,0.7167,83.69,12.77
26417.jpg,26.09,0.6792,82.8,12.64
26423.jpg,28.15,0.8037,90.94,9.98
26428.jpg,28.75,0.8163,92.79,9.31
26429.jpg,29.67,0.8387,94.79,8.38
26432.jpg,29.17,0.7811,93.7,8.87
26434.jpg,26.31,0.7985,88.03,12.34
26442.jpg,20.64,0.6473,76.44,23.7
2646.jpg,23.77,0.6299,74.15,16.51
26464.jpg,24.49,0.7882,85.96,15.21
26476.jpg,28.61,0.756,91.12,9.46
2648.jpg,27.33,0.7911,93.19,10.97
26484.jpg,27.88,0.7791,89.71,10.29
26485.jpg,26.42,0.6986,83.43,12.18
26488.jpg,29.12,0.8385,93.27,8.93
26494.jpg,28.4,0.7419,89.06,9.69
26498.jpg,21.51,0.6814,75.22,21.44
26501.jpg,27.91,0.814,93.04,10.25
26507.jpg,26.85,0.7595,87.13,11.6
2651.jpg,25.38,0.6763,81.75,13.73
26511.jpg,26.36,0.7231,86.15,12.26
26517.jpg,26.18,0.6916,81.92,12.52
26519.jpg,28.34,0.758,89.81,9.77
26520.jpg,20.95,0.5835,65.49,22.86
26524.jpg,22.76,0.6803,82.43,18.55
26525.jpg,27.79,0.766,89.92,10.4
26526.jpg,24.76,0.7551,81.78,14.74
26528.jpg,28.94,0.8565,93.37,9.11
26530.jpg,28.91,0.7999,92.23,9.14
26541.jpg,24.98,0.6187,79.02,14.37
26542.jpg,24.92,0.7021,81.14,14.47
26561.jpg,21.25,0.6168,69.49,22.08
26566.jpg,32.08,0.8404,98.81,6.34
26576.jpg,27.56,0.7729,87.07,10.68
26591.jpg,26.17,0.6371,81.96,12.54
26592.jpg,28.04,0.7863,91.03,10.1
26593.jpg,27.36,0.7696,88.19,10.93
26594.jpg,26.38,0.7187,91.37,12.23
266.jpg,29.79,0.8424,95.04,8.27
26606.jpg,26.09,0.7309,82.27,12.65
26607.jpg,26.62,0.6789,84.33,11.9
2661.jpg,24.74,0.6762,81.26,14.78
26618.jpg,26.47,0.7185,85.98,12.1
26627.jpg,28.03,0.7893,90.59,10.12
26628.jpg,27.4,0.8336,92.87,10.88
26635.jpg,28.32,0.7903,89.74,9.78
26639.jpg,23.87,0.6553,71.21,16.33
26640.jpg,26.63,0.7613,86.05,11.88
26643.jpg,30.76,0.8502,98.01,7.39
26661.jpg,27.69,0.796,89.87,10.52
26665.jpg,24.21,0.5933,76.75,15.7
26676.jpg,23.97,0.6732,79.05,16.15
26677.jpg,29.36,0.819,92.47,8.68
26713.jpg,25.1,0.7244,85.43,14.17
26716.jpg,27.71,0.7691,88.55,10.5
26717.jpg,27.21,0.7467,87.85,11.11
26722.jpg,27.94,0.7889,88.53,10.23
26731.jpg,22.68,0.6115,79.6,18.73
26739.jpg,28.12,0.8052,89.76,10.01
26743.jpg,21.53,0.7365,73.81,21.37
26748.jpg,26.94,0.8468,90.07,11.47
26752.jpg,26.06,0.6982,83.06,12.69
26767.jpg,26.25,0.7755,82.74,12.41
26768.jpg,29.46,0.8027,92.64,8.58
2678.jpg,27.84,0.7553,88.86,10.34
26786.jpg,27.18,0.8039,89.29,11.16
2679.jpg,28.5,0.7976,91.84,9.58
2680.jpg,27.85,0.7108,87.83,10.33
26801.jpg,29.4,0.8309,95.04,8.64
26805.jpg,27.96,0.8435,93.28,10.2
26825.jpg,27.89,0.7539,88.39,10.29
26828.jpg,29.01,0.8206,93.76,9.03
26833.jpg,27.42,0.8497,92.38,10.86
26836.jpg,28.31,0.7965,93.1,9.8
26839.jpg,27.26,0.7386,85.72,11.05
26840.jpg,27.33,0.7861,89.01,10.97
26843.jpg,26.79,0.7481,84.87,11.67
26848.jpg,25.89,0.6895,84.58,12.94
26864.jpg,25.34,0.704,80.14,13.79
2687.jpg,26.25,0.7086,84.34,12.42
26875.jpg,26.93,0.7409,86.28,11.48
26878.jpg,28.0,0.7621,91.82,10.15
2688.jpg,24.17,0.6507,76.04,15.78
26883.jpg,26.53,0.6678,85.42,12.02
26885.jpg,22.75,0.6859,78.5,18.59
26886.jpg,29.91,0.7876,93.04,8.15
26901.jpg,22.62,0.7337,83.86,18.86
26905.jpg,25.42,0.6916,78.09,13.66
26913.jpg,28.5,0.8032,93.01,9.58
26916.jpg,27.05,0.7319,84.66,11.32
2692.jpg,22.73,0.7046,78.25,18.61
26929.jpg,25.37,0.6867,81.61,13.74
26932.jpg,24.22,0.6776,77.45,15.7
26941.jpg,24.0,0.7737,83.48,16.09
26946.jpg,23.96,0.6008,71.64,16.17
26951.jpg,27.75,0.7427,89.74,10.44
26954.jpg,27.17,0.7945,87.91,11.18
26957.jpg,26.82,0.659,88.17,11.63
26958.jpg,27.37,0.725,84.53,10.91
26959.jpg,26.16,0.7609,87.16,12.55
26960.jpg,26.05,0.6675,79.56,12.71
26966.jpg,24.82,0.7524,83.77,14.64
26969.jpg,24.4,0.6762,81.42,15.37
26978.jpg,29.13,0.7735,93.02,8.91
26985.jpg,23.19,0.6786,80.36,17.66
26991.jpg,27.49,0.7482,85.73,10.76
26993.jpg,26.24,0.7315,83.12,12.44
26997.jpg,27.27,0.7506,87.36,11.04
26999.jpg,29.11,0.8161,93.91,8.94
27.jpg,29.09,0.8187,94.75,8.96
27008.jpg,25.13,0.6428,78.2,14.13
27012.jpg,29.94,0.8231,95.33,8.12
27013.jpg,28.48,0.7804,90.15,9.61
27017.jpg,24.09,0.5954,75.81,15.93
27020.jpg,28.24,0.7909,92.62,9.87
27021.jpg,27.85,0.7374,89.59,10.33
27028.jpg,30.12,0.8446,94.22,7.95
27036.jpg,27.01,0.7889,89.2,11.38
27038.jpg,26.27,0.7548,83.94,12.39
27053.jpg,28.92,0.7929,90.96,9.13
27059.jpg,28.03,0.7577,92.06,10.12
27064.jpg,23.83,0.6691,81.19,16.41
27066.jpg,29.67,0.8664,94.93,8.38
27070.jpg,24.47,0.7495,84.92,15.24
27071.jpg,25.39,0.7379,83.9,13.7
27073.jpg,23.69,0.5766,70.81,16.68
27078.jpg,29.23,0.8225,94.0,8.81
27091.jpg,27.44,0.7597,87.35,10.82
27092.jpg,27.01,0.7866,87.9,11.38
27098.jpg,27.01,0.7218,89.5,11.38
27099.jpg,25.91,0.662,81.08,12.92
27111.jpg,27.87,0.7434,87.62,10.31
27115.jpg,27.02,0.7002,85.11,11.36
27117.jpg,28.07,0.8046,91.42,10.07
2712.jpg,27.59,0.7266,85.53,10.65
27135.jpg,28.47,0.8223,91.11,9.62
27137.jpg,28.35,0.836,90.77,9.75
2714.jpg,25.92,0.6995,83.61,12.89
27141.jpg,27.15,0.8186,87.52,11.19
27143.jpg,26.73,0.7557,86.6,11.76
27147.jpg,28.42,0.8233,90.54,9.68
2715.jpg,31.4,0.8749,96.76,6.86
27158.jpg,24.88,0.7342,81.65,14.53
27167.jpg,28.32,0.8128,92.39,9.79
27173.jpg,24.59,0.5312,73.42,15.03
27176.jpg,27.98,0.8096,91.63,10.17
27197.jpg,23.68,0.6301,75.67,16.7
272.jpg,27.08,0.733,87.83,11.29
27202.jpg,29.21,0.8021,92.88,8.83
27208.jpg,26.46,0.7058,84.79,12.13
27210.jpg,32.28,0.8654,98.5,6.2
27214.jpg,30.65,0.8262,96.73,7.48
27215.jpg,30.06,0.8342,95.87,8.01
27219.jpg,26.56,0.7384,84.38,11.99
27220.jpg,26.71,0.7067,83.72,11.78
27236.jpg,25.31,0.6842,80.39,13.83
27244.jpg,23.55,0.6873,79.84,16.95
27250.jpg,26.6,0.7174,86.16,11.93
27251.jpg,28.12,0.7764,90.25,10.02
27259.jpg,25.37,0.6781,81.33,13.74
2726.jpg,24.83,0.5926,74.51,14.63
27268.jpg,28.44,0.8333,92.52,9.65
27281.jpg,25.57,0.7477,87.98,13.43
27291.jpg,26.64,0.7316,84.21,11.88
27293.jpg,28.48,0.8515,93.1,9.61
2730.jpg,27.86,0.6586,92.32,10.31
27311.jpg,28.46,0.7895,91.03,9.63
27314.jpg,26.95,0.7246,86.46,11.46
27318.jpg,24.2,0.6943,79.68,15.73
2732.jpg,27.46,0.7057,85.47,10.8
27330.jpg,24.35,0.7419,80.73,15.45
27331.jpg,28.18,0.7397,90.71,9.95
27335.jpg,29.01,0.8662,93.98,9.04
27337.jpg,29.21,0.8525,93.63,8.83
27343.jpg,23.07,0.6399,76.53,17.9
27345.jpg,25.34,0.6245,81.56,13.78
27346.jpg,25.48,0.7227,80.97,13.56
27348.jpg,26.45,0.739,87.79,12.13
27354.jpg,27.31,0.7451,87.49,11.0
2736.jpg,24.93,0.7659,83.72,14.45
