Image,PSNR (dB),SSIM,Accuracy (%),RMSE
19314.jpg,25.4,0.7123,82.01,13.69
19327.jpg,24.16,0.6313,74.49,15.8
19336.jpg,28.19,0.702,90.52,9.93
19374.jpg,26.11,0.6891,83.47,12.62
19379.jpg,26.17,0.7442,84.88,12.53
19385.jpg,27.16,0.7324,89.85,11.18
19389.jpg,28.05,0.7192,90.52,10.1
19395.jpg,24.85,0.7877,86.25,14.6
19406.jpg,27.27,0.7604,87.57,11.04
19421.jpg,26.28,0.7672,84.64,12.38
19422.jpg,27.42,0.7229,89.15,10.85
19426.jpg,26.94,0.6805,83.44,11.46
19429.jpg,30.63,0.8196,95.53,7.5
19430.jpg,22.37,0.636,72.18,19.41
19436.jpg,28.14,0.7694,87.84,9.99
19439.jpg,26.42,0.6644,84.66,12.18
1945.jpg,27.41,0.7278,85.61,10.86
19450.jpg,26.18,0.6545,84.47,12.52
19454.jpg,27.16,0.7084,85.87,11.19
19466.jpg,28.37,0.7382,90.18,9.73
19485.jpg,26.12,0.6422,82.48,12.61
19488.jpg,24.91,0.7104,84.91,14.49
19493.jpg,21.97,0.7085,79.14,20.34
19498.jpg,22.67,0.6084,71.77,18.76
19501.jpg,26.59,0.7136,82.09,11.95
19503.jpg,25.64,0.6529,77.42,13.32
19509.jpg,28.61,0.7866,91.01,9.46
19514.jpg,27.17,0.7612,86.76,11.17
1952.jpg,26.07,0.7779,86.45,12.68
19522.jpg,28.28,0.7845,91.63,9.83
19560.jpg,24.49,0.6989,82.69,15.2
19562.jpg,27.35,0.7458,87.31,10.94
19573.jpg,25.43,0.6626,82.41,13.65
19579.jpg,24.59,0.6991,78.92,15.04
19581.jpg,25.91,0.7122,82.58,12.92
19592.jpg,26.55,0.7056,85.28,11.99
19596.jpg,26.94,0.7965,87.32,11.47
19598.jpg,26.32,0.6395,82.38,12.32
19600.jpg,28.67,0.788,90.82,9.4
19605.jpg,26.4,0.7132,83.29,12.21
19608.jpg,28.55,0.794,92.63,9.53
1961.jpg,27.26,0.8105,90.62,11.05
19611.jpg,24.83,0.7238,81.5,14.62
19612.jpg,24.79,0.7137,75.59,14.7
19614.jpg,25.38,0.7045,81.12,13.73
19617.jpg,27.27,0.5733,83.55,11.05
19618.jpg,24.91,0.6649,75.25,14.49
19631.jpg,25.38,0.7116,84.1,13.72
19635.jpg,26.48,0.759,85.73,12.1
19637.jpg,26.39,0.7204,85.13,12.22
19649.jpg,28.77,0.849,91.56,9.29
19657.jpg,26.65,0.7781,86.92,11.85
19667.jpg,29.17,0.8104,91.63,8.87
19671.jpg,29.28,0.8082,92.78,8.76
19672.jpg,20.84,0.5929,73.59,23.16
19676.jpg,28.91,0.8001,92.15,9.14
19685.jpg,26.67,0.7273,85.22,11.83
19687.jpg,25.81,0.6429,81.42,13.06
19692.jpg,25.43,0.7589,87.92,13.65
197.jpg,25.32,0.6731,79.51,13.82
19703.jpg,28.03,0.747,88.21,10.12
19704.jpg,26.77,0.8073,88.61,11.69
19709.jpg,27.81,0.7371,88.13,10.38
19712.jpg,27.41,0.7801,85.63,10.87
19715.jpg,26.83,0.7602,90.61,11.62
19721.jpg,24.57,0.7748,85.17,15.06
19727.jpg,25.06,0.6661,81.92,14.23
19731.jpg,28.2,0.6522,91.25,9.92
19740.jpg,25.13,0.7684,88.67,14.12
19749.jpg,22.6,0.6788,78.4,18.89
19759.jpg,31.45,0.8748,98.23,6.82
19766.jpg,28.53,0.7503,91.76,9.55
19772.jpg,27.26,0.7716,87.18,11.05
19775.jpg,29.72,0.7975,95.33,8.32
19776.jpg,25.5,0.723,84.4,13.54
19779.jpg,26.44,0.7333,88.19,12.15
19783.jpg,26.69,0.711,83.85,11.8
19786.jpg,23.98,0.5518,70.12,16.13
19787.jpg,28.32,0.778,90.53,9.78
19790.jpg,29.41,0.8506,93.27,8.63
19797.jpg,25.76,0.7104,84.41,13.14
198.jpg,25.78,0.7143,80.84,13.11
19801.jpg,25.1,0.6888,76.81,14.17
19802.jpg,29.73,0.8671,96.09,8.32
19803.jpg,29.93,0.7966,96.01,8.13
19807.jpg,26.6,0.6857,81.8,11.92
19809.jpg,25.12,0.726,83.57,14.15
19812.jpg,29.89,0.8014,94.38,8.17
19820.jpg,25.68,0.7881,89.05,13.26
19826.jpg,26.15,0.7239,86.54,12.56
19828.jpg,28.84,0.8083,90.94,9.22
19829.jpg,29.62,0.8186,94.24,8.43
1983.jpg,24.98,0.7438,84.84,14.37
19831.jpg,28.92,0.869,96.59,9.13
19839.jpg,28.94,0.7955,90.64,9.11
19842.jpg,25.68,0.7634,87.85,13.26
19848.jpg,27.26,0.7273,87.86,11.06
19850.jpg,28.12,0.7732,92.73,10.02
19853.jpg,26.59,0.6337,82.6,11.94
19855.jpg,29.29,0.8733,95.19,8.75
